%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1736135351140435082,676,1736135351134366989,map,0.9130393527143938,0.4534614858127496,0.4126711067353993,0.0,0.0,0.0,1.0,4.480139843290348e-05,-0.0004697319679675725,-0.0005723153430149822,0.0,0.0,0.0,-0.0004697319679675725,0.01658155673093877,0.0035325826447692196,0.0,0.0,0.0,-0.0005723153430149822,0.0035325826447692196,0.007833585632870706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135351240189364,677,1736135351234354972,map,0.9124403473489197,0.4562628462217391,0.4210597132945332,0.0,0.0,0.0,1.0,4.6265795107106726e-05,-0.0004579940734442661,-0.00059675834004781,0.0,0.0,0.0,-0.0004579940734442661,0.015499178883419706,0.0035857489469175116,0.0,0.0,0.0,-0.00059675834004781,0.0035857489469175116,0.00818883716200264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135351339896607,678,1736135351334394216,map,0.9122651503033298,0.45798739008119127,0.4233215561884042,0.0,0.0,0.0,1.0,4.3611124833601186e-05,-0.0004316910250629766,-0.0005625222054076168,0.0,0.0,0.0,-0.0004316910250629766,0.014507537012516157,0.0034013080789544003,0.0,0.0,0.0,-0.0005625222054076168,0.0034013080789544003,0.007714537750407569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135351439722091,679,1736135351434098720,map,0.9125632106724391,0.46303107402226507,0.41778443081156597,0.0,0.0,0.0,1.0,4.221802928600489e-05,-0.0003821605015393321,-0.0005521205320740158,0.0,0.0,0.0,-0.0003821605015393321,0.013982397164695588,0.002769813668876678,0.0,0.0,0.0,-0.0005521205320740158,0.002769813668876678,0.007692275502589492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135351540128112,680,1736135351534353733,map,0.9131813810681614,0.4567559442713264,0.40984394824855735,0.0,0.0,0.0,1.0,4.584877000895322e-05,-0.00042174606309856795,-0.0005981799936879436,0.0,0.0,0.0,-0.00042174606309856795,0.013789939268088997,0.0034041243869475228,0.0,0.0,0.0,-0.0005981799936879436,0.0034041243869475228,0.008248608921654616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135351639621720,681,1736135351634081363,map,0.9136995634198564,0.4540854529806684,0.4026395264296391,0.0,0.0,0.0,1.0,4.786633626290326e-05,-0.00042184035103171367,-0.0006284122439087814,0.0,0.0,0.0,-0.00042184035103171367,0.013145067434442107,0.0035420752427184512,0.0,0.0,0.0,-0.0006284122439087814,0.0035420752427184512,0.008672715664114969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135351740588611,682,1736135351734276533,map,0.9141152166851789,0.45425781127421455,0.39637055839326496,0.0,0.0,0.0,1.0,4.845687287248226e-05,-0.0003983486841178799,-0.000642240821903407,0.0,0.0,0.0,-0.0003983486841178799,0.012453756512862159,0.003336201074548985,0.0,0.0,0.0,-0.000642240821903407,0.003336201074548985,0.008923656229290483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135351840091747,683,1736135351834163665,map,0.9143665776548044,0.4590874352502466,0.39157898528048196,0.0,0.0,0.0,1.0,4.7234493632828185e-05,-0.00035536564956669157,-0.0006330126556177854,0.0,0.0,0.0,-0.00035536564956669157,0.01227424877446646,0.0027297025894417945,0.0,0.0,0.0,-0.0006330126556177854,0.0027297025894417945,0.008913697702833722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135351940888153,684,1736135351934228420,map,0.9142620366920469,0.47333221516322754,0.3901305044147595,0.0,0.0,0.0,1.0,4.52038082891503e-05,-0.00036822673590523983,-0.000599840684141693,0.0,0.0,0.0,-0.00036822673590523983,0.015748035832972414,0.0021870509290417184,0.0,0.0,0.0,-0.000599840684141693,0.0021870509290417184,0.008531197843827968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135352040741537,685,1736135352034369707,map,0.9143033018938053,0.4824806713199125,0.38757477787988964,0.0,0.0,0.0,1.0,4.318484888495194e-05,-0.0003435613863297038,-0.0005747899124920034,0.0,0.0,0.0,-0.0003435613863297038,0.016789795273449298,0.0015966395279687932,0.0,0.0,0.0,-0.0005747899124920034,0.0015966395279687932,0.008280582624195761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
