%time,control_mode
1736135763534827359,0
1736135763584725350,0
1736135763634847570,0
1736135763684727497,0
1736135763734690652,0
1736135763784843612,0
1736135763834749908,0
1736135763884726160,0
1736135763934719282,0
1736135763984783453,0
1736135764034894950,0
1736135764084738931,0
1736135764134721618,0
1736135764184683254,0
1736135764234738321,0
1736135764284737579,0
1736135764334626447,0
1736135764384666033,0
1736135764434842332,0
1736135764484761316,0
1736135764534792467,0
1736135764584681294,0
1736135764634705801,0
1736135764684769344,0
1736135764734731521,0
1736135764784752893,0
1736135764834671536,0
1736135764884716434,0
1736135764934707176,0
1736135764984731092,0
1736135765034761366,0
1736135765084765057,0
1736135765134791512,0
1736135765184810383,0
1736135765234709513,0
1736135765284709287,0
1736135765334795899,0
1736135765384801263,0
1736135765434688852,0
1736135765484716870,0
1736135765534766228,0
1736135765584812822,0
1736135765634792116,0
1736135765684706576,0
1736135765734775573,0
1736135765784757434,0
1736135765834738782,0
1736135765884762061,0
1736135765934713251,0
1736135765984734035,0
1736135766034676717,0
1736135766084720519,0
1736135766134706561,0
1736135766184745023,0
1736135766234696337,0
1736135766284733868,0
1736135766334778852,0
1736135766384763902,0
1736135766434723503,0
1736135766484778056,0
1736135766534721916,0
1736135766584707888,0
1736135766634713287,0
1736135766684745536,0
1736135766734787305,0
1736135766784730885,0
1736135766834727336,0
1736135766884739869,0
1736135766934704049,0
1736135766984730238,0
1736135767034774377,0
1736135767084768228,0
1736135767134695991,0
1736135767184762821,0
1736135767234692469,0
1736135767284768287,0
1736135767334738953,0
1736135767384746539,0
1736135767434794163,0
1736135767484769568,0
1736135767534712130,0
1736135767584744504,0
1736135767634714309,0
1736135767684708851,0
1736135767734696540,0
1736135767784744804,0
1736135767834733825,0
1736135767885129517,0
1736135767934706929,0
1736135767984799229,0
1736135768034739643,0
1736135768084706926,0
1736135768134726970,0
1736135768184731176,0
1736135768234681877,0
1736135768284751326,0
1736135768334738749,0
1736135768384777860,0
1736135768434771173,0
1736135768484796399,0
1736135768534802606,0
1736135768584817791,0
1736135768634768784,0
1736135768684710208,0
1736135768734720884,0
1736135768784776067,0
1736135768834709836,0
1736135768884816126,0
1736135768934717523,0
1736135768984679967,0
1736135769034730757,0
1736135769084770894,0
1736135769134719025,0
1736135769184804739,0
