%time,desired_box
1735646536974700858,16
1735646537174702126,16
1735646537374703154,16
1735646537574691609,16
1735646537774714138,16
1735646537974695790,16
1735646538174657837,16
1735646538374637465,16
1735646538574553495,16
1735646538774665084,16
1735646538974708865,16
1735646539174566306,16
1735646539374677496,16
1735646539574695681,16
1735646539774706951,16
1735646539974695549,16
1735646540174715458,16
1735646540374491017,16
1735646540574696777,16
1735646540774697891,16
1735646540974483629,16
1735646541174509772,16
1735646541374677441,16
1735646541574719494,16
1735646541774739295,16
1735646541974677802,16
1735646542174703025,16
1735646542374612029,16
1735646542574686895,16
1735646542774639111,16
1735646542974597327,16
1735646543174723872,16
1735646543374663265,16
1735646543574717214,16
1735646543774644363,16
1735646543974707730,16
1735646544174762162,16
1735646544374669606,16
1735646544574678161,16
1735646544774761117,16
1735646544974698978,16
1735646545174580344,16
1735646545374741439,16
1735646545574662931,16
1735646545774716543,16
1735646545974773080,16
1735646546174740131,16
1735646546374736005,16
1735646546574751207,16
1735646546774722194,16
1735646546974708230,16
1735646547174728563,16
1735646547374828966,16
1735646547574684076,16
1735646547774712895,16
1735646547974714822,16
1735646548174725689,16
1735646548374644351,16
1735646548574746721,16
1735646548774724455,16
1735646548974718359,16
1735646549174730520,16
1735646549374590603,16
1735646549574539904,16
1735646549774752593,16
1735646549974574815,16
1735646550174596966,16
1735646550374764582,16
1735646550574747069,16
1735646550774596895,16
1735646550974553793,16
1735646551174732071,16
1735646551374767468,16
1735646551574660727,16
1735646551774706465,16
1735646551974714792,16
1735646552174751454,16
1735646552374700170,16
1735646552574693541,16
1735646552774715124,16
1735646552974717432,16
1735646553174702767,16
1735646553374683987,16
1735646553574569145,16
1735646553774674618,16
1735646553974704600,16
1735646554174721639,16
1735646554374755828,16
1735646554574591134,16
1735646554774764427,16
1735646554974742532,16
1735646555174714287,16
1735646555374740115,16
1735646555574675741,16
1735646555774707227,16
1735646555974694972,16
1735646556174739869,16
1735646556374799432,16
1735646556574724801,16
1735646556774743254,16
1735646556974705112,16
1735646557174623910,16
1735646557374693714,16
1735646557574610208,16
1735646557774724865,16
1735646557974702725,16
