file_name,bayesian_threshold,bayesian_diff_threshold,intersection_length_threshold,success_time_rate,is_success
box0_data0.csv,0.1,0.15,10,0.2680377617554963,True
box0_data0.csv,0.1,0.2,1,0.030925019234611252,True
box0_data0.csv,0.1,0.2,2,0.030925019234611252,True
box0_data0.csv,0.1,0.2,3,0.030925019234611252,True
box0_data0.csv,0.1,0.2,4,0.030925019234611252,True
box0_data0.csv,0.1,0.2,5,0.041233434374561236,True
box0_data0.csv,0.1,0.2,6,0.051543621883072564,True
box0_data0.csv,0.1,0.2,7,0.061851282075664774,True
box0_data0.csv,0.1,0.2,8,0.0721574416518785,True
box0_data0.csv,0.1,0.2,9,0.08246867843721727,True
box0_data0.csv,0.1,0.2,10,0.28865961872913076,True
box0_data0.csv,0.1,0.25,1,0.030925019234611252,True
box0_data0.csv,0.1,0.25,2,0.030925019234611252,True
box0_data0.csv,0.1,0.25,3,0.030925019234611252,True
box0_data0.csv,0.1,0.25,4,0.030925019234611252,True
box0_data0.csv,0.1,0.25,5,0.041233434374561236,True
box0_data0.csv,0.1,0.25,6,0.051543621883072564,True
box0_data0.csv,0.1,0.25,7,0.061851282075664774,True
box0_data0.csv,0.1,0.25,8,0.0721574416518785,True
box0_data0.csv,0.1,0.25,9,0.28865961872913076,True
box0_data0.csv,0.1,0.25,10,0.28865961872913076,True
box0_data0.csv,0.1,0.3,1,0.030925019234611252,True
box0_data0.csv,0.1,0.3,2,0.030925019234611252,True
box0_data0.csv,0.1,0.3,3,0.030925019234611252,True
box0_data0.csv,0.1,0.3,4,0.030925019234611252,True
box0_data0.csv,0.1,0.3,5,0.041233434374561236,True
box0_data0.csv,0.1,0.3,6,0.051543621883072564,True
box0_data0.csv,0.1,0.3,7,0.061851282075664774,True
box0_data0.csv,0.1,0.3,8,0.28865961872913076,True
box0_data0.csv,0.1,0.3,9,0.28865961872913076,True
box0_data0.csv,0.1,0.3,10,0.28865961872913076,True
box0_data0.csv,0.1,0.35,1,0.030925019234611252,True
box0_data0.csv,0.1,0.35,2,0.030925019234611252,True
box0_data0.csv,0.1,0.35,3,0.030925019234611252,True
box0_data0.csv,0.1,0.35,4,0.030925019234611252,True
box0_data0.csv,0.1,0.35,5,0.041233434374561236,True
box0_data0.csv,0.1,0.35,6,0.051543621883072564,True
box0_data0.csv,0.1,0.35,7,0.061851282075664774,True
box0_data0.csv,0.1,0.35,8,0.41237066967226504,True
box0_data0.csv,0.1,0.35,9,0.41237066967226504,True
box0_data0.csv,0.1,0.35,10,0.41237066967226504,True
box0_data0.csv,0.1,0.4,1,0.030925019234611252,True
box0_data0.csv,0.1,0.4,2,0.030925019234611252,True
box0_data0.csv,0.1,0.4,3,0.030925019234611252,True
box0_data0.csv,0.1,0.4,4,0.030925019234611252,True
box0_data0.csv,0.1,0.4,5,0.041233434374561236,True
box0_data0.csv,0.1,0.4,6,0.051543621883072564,True
box0_data0.csv,0.1,0.4,7,0.41237066967226504,True
box0_data0.csv,0.1,0.4,8,0.41237066967226504,True
box0_data0.csv,0.1,0.4,9,0.41237066967226504,True
box0_data0.csv,0.1,0.4,10,0.41237066967226504,True
box0_data0.csv,0.1,0.45,1,0.030925019234611252,True
box0_data0.csv,0.1,0.45,2,0.030925019234611252,True
box0_data0.csv,0.1,0.45,3,0.030925019234611252,True
box0_data0.csv,0.1,0.45,4,0.030925019234611252,True
box0_data0.csv,0.1,0.45,5,0.041233434374561236,True
box0_data0.csv,0.1,0.45,6,0.051543621883072564,True
box0_data0.csv,0.1,0.45,7,0.41237066967226504,True
box0_data0.csv,0.1,0.45,8,0.41237066967226504,True
box0_data0.csv,0.1,0.45,9,0.41237066967226504,True
box0_data0.csv,0.1,0.45,10,0.41237066967226504,True
box0_data0.csv,0.1,0.5,1,0.030925019234611252,True
box0_data0.csv,0.1,0.5,2,0.030925019234611252,True
box0_data0.csv,0.1,0.5,3,0.030925019234611252,True
box0_data0.csv,0.1,0.5,4,0.030925019234611252,True
box0_data0.csv,0.1,0.5,5,0.041233434374561236,True
