%time,intersection_length
1735645986103852352,0
1735645986203377442,0
1735645986303636569,0
1735645986403116462,0
1735645986502988738,0
1735645986603241213,0
1735645986702610717,0
1735645986804038899,0
1735645986903956400,0
1735645987003048138,0
1735645987102578718,0
1735645987203763267,0
1735645987303689805,0
1735645987403072455,0
1735645987504570638,0
1735645987602967412,0
1735645987702783481,0
1735645987802570054,0
1735645987902456076,0
1735645988003927068,0
1735645988102909240,0
1735645988203104657,0
1735645988304427870,0
1735645988402709825,0
1735645988502231557,0
1735645988602874302,0
1735645988704213173,0
1735645988803247955,0
1735645988903849150,0
1735645989003525276,0
1735645989104058472,0
1735645989203698830,0
1735645989303238055,0
1735645989402912477,0
1735645989503647245,0
1735645989602554395,0
1735645989702543261,0
1735645989802619985,0
1735645989902962951,0
1735645990003454390,0
1735645990102402386,0
1735645990202973746,0
1735645990304274004,0
1735645990403107485,0
1735645990503382043,0
1735645990603814418,0
1735645990703244078,0
1735645990803103749,0
1735645990903065946,0
1735645991003679364,0
1735645991102549244,0
1735645991203495343,0
1735645991303704887,0
1735645991403192225,0
1735645991504000113,0
1735645991602612694,0
1735645991703024923,0
1735645991804199625,0
1735645991903919782,0
1735645992003816786,0
1735645992103352356,0
1735645992203772688,0
1735645992302359923,0
1735645992403886311,0
1735645992504672476,0
1735645992603841882,0
1735645992703119063,0
1735645992804439559,0
1735645992903210061,0
1735645993004302988,0
1735645993103122332,0
1735645993203648125,0
1735645993303683410,0
1735645993403509399,0
1735645993506418574,0
1735645993602470369,0
1735645993704536297,0
1735645993803045354,0
1735645993904359921,0
1735645994003968207,0
1735645994103360996,0
1735645994202821864,0
1735645994304706540,0
1735645994403841331,0
1735645994504226950,0
1735645994604053659,0
1735645994704377861,0
1735645994804992143,0
1735645994902806945,0
1735645995003909651,0
1735645995103980203,0
1735645995204298134,0
1735645995303250047,0
1735645995404835356,0
1735645995504717041,0
1735645995603022452,0
1735645995703530603,0
1735645995802403147,0
1735645995905505489,0
1735645996003710149,0
1735645996105476861,0
1735645996202727586,0
1735645996302525181,0
1735645996404455543,0
1735645996503221256,0
1735645996606176007,0
1735645996702785047,0
1735645996803499859,0
1735645996904741949,0
1735645997004611781,0
1735645997104473197,0
1735645997205076809,0
1735645997304447967,0
1735645997403869611,0
1735645997503560475,0
1735645997602659398,0
1735645997702556201,0
1735645997802385557,0
1735645997904698964,0
1735645998004402853,0
1735645998104845229,0
1735645998203566848,0
1735645998304157094,0
1735645998404256151,0
1735645998505078887,0
1735645998604066660,0
1735645998705955985,0
1735645998805315852,0
1735645998904749188,0
1735645999005759590,0
1735645999104752602,0
1735645999205581931,0
1735645999305173346,0
1735645999405245212,0
1735645999502974714,0
1735645999604889908,0
1735645999702758231,0
1735645999804819281,0
1735645999903796725,0
1735646000004156013,0
1735646000104876136,0
1735646000203742339,0
1735646000304726762,1
1735646000403985527,2
1735646000504462759,3
1735646000603853116,4
1735646000704376265,5
1735646000803627997,6
1735646000904199558,7
1735646001004075021,8
1735646001105025229,9
1735646001204353267,10
1735646001303381035,11
1735646001403840704,12
1735646001504457963,13
1735646001604867947,14
1735646001704912200,15
1735646001802651841,16
1735646001904843429,17
1735646002004818631,18
1735646002104556794,19
1735646002204376112,20
1735646002304334873,21
1735646002404760297,22
1735646002504486459,23
1735646002604565217,24
1735646002704005706,25
1735646002804230282,26
1735646002904644595,27
1735646003003933207,28
1735646003105142246,29
1735646003205292479,29
1735646003303147568,29
1735646003402741209,29
1735646003503358717,29
1735646003604465151,29
1735646003704060274,30
1735646003804684915,31
