%time,field.header.seq,field.header.stamp,field.header.frame_id,field.axes0,field.axes1,field.buttons0,field.buttons1,field.buttons2,field.buttons3
1735646407340676119,18650,0,,0.0,0.0,0,0,1,1
1735646407452423748,18651,0,,0.0,0.0,0,0,1,1
1735646407556603299,18652,0,,0.0,0.0,0,0,1,1
1735646407668086618,18653,0,,0.0,0.0,0,0,1,1
1735646407786676815,18654,0,,0.0,0.0,0,0,1,1
1735646407893503951,18655,0,,0.0,0.0,0,0,1,1
1735646408001456490,18656,0,,0.0,0.0,0,0,1,1
1735646408116153163,18657,0,,0.0,0.0,0,0,1,1
1735646408224578967,18658,0,,0.0,0.0,0,0,1,1
1735646408333320495,18659,0,,0.0,0.0,0,0,1,1
1735646408450817050,18660,0,,0.0,0.0,0,0,1,1
1735646408561229270,18661,0,,0.0,0.0,0,0,1,1
1735646408673608010,18662,0,,0.0,0.0,0,0,1,1
1735646408774841294,18663,0,,0.0,0.0,0,0,1,1
1735646408889953502,18664,0,,0.0,0.0,0,0,1,1
1735646409006845637,18665,0,,0.0,0.0,0,0,1,1
1735646409117665517,18666,0,,0.0,0.0,0,0,1,1
1735646409223185901,18667,0,,0.0,0.0,0,0,1,1
1735646409331316247,18668,0,,0.0,0.0,0,0,1,0
1735646409450928375,18669,0,,0.0,0.0,0,0,1,0
1735646409556003157,18670,0,,0.0,0.0,0,0,1,0
1735646409666837205,18671,0,,0.0,0.0,1,0,1,0
1735646409779083817,18672,0,,0.0,0.0,0,0,1,0
1735646409892471963,18673,0,,0.0,0.0,0,0,0,0
1735646410004263167,18674,0,,0.0,0.0,0,0,0,0
1735646410111152513,18675,0,,0.0,0.0,0,0,0,0
1735646410221661528,18676,0,,0.0,0.0,0,0,0,0
1735646410334415128,18677,0,,0.0,0.0,0,0,0,0
1735646410452906604,18678,0,,0.0,0.0,0,0,0,0
1735646410554253013,18679,0,,0.0,0.0,0,0,0,0
1735646410671241192,18680,0,,0.0,0.0,0,0,0,0
1735646410782631881,18681,0,,0.0,0.0,0,0,0,0
1735646410896531314,18682,0,,0.0,0.0,0,0,0,0
1735646410991450336,18683,0,,0.0,0.0,0,0,0,0
1735646411103024824,18684,0,,0.0,0.0,0,0,0,0
1735646411212131826,18685,0,,0.0,0.0,0,0,0,0
1735646411326280068,18686,0,,0.0,0.0,0,0,0,0
1735646411428945808,18687,0,,0.0,0.0,0,0,0,0
1735646411540772870,18688,0,,0.0,0.0,0,0,0,0
